"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7325","User registration test @master @sanity @regression","chromium","2026-06-04","passed","2026-06-04","","AccountRegistration.spec.ts","",""
"","2085","User login test @master @sanity @regression","chromium","2026-06-04","failed","2026-06-04","","Login.spec.ts","",""
